	gene_name	PD_2	PD_4	PD_12	Control_3	Control_7	Control_11
ENSG00000156009	MEMO1	42	114	92	94	145	30
ENSG00000230899	MEN1	149	266	275	278	271	319
ENSG00000123584	MEOX1	6	0	0	0	0	0
ENSG00000267978	MEOX2	24	0	4	4	0	8
ENSG00000123584	MEOX2-AS1	1	0	1	0	0	0
ENSG00000267978	MEP1A	4	0	3	0	0	6
ENSG00000214107	MEP1B	6	0	22	0	0	3
ENSG00000177689	MEPCE	105	259	257	239	330	235
ENSG00000189023	MEPE	4	0	0	0	1	2
ENSG00000182798	MERTK	69	13	2	10	14	6
ENSG00000176774	MESDC1	73	141	171	104	78	116
ENSG00000099399	MESDC2	345	614	588	461	596	284
ENSG00000198798	MESP1	323	745	1109	1097	1151	311
ENSG00000120289	MESP2	2	27	16	23	28	42
ENSG00000188408	MEST	701	1822	1622	1259	1012	605
ENSG00000176746	MESTIT1	0	5	0	1	0	0
ENSG00000155495	MET	49	37	96	36	124	22
ENSG00000046774	METAP1	81	234	466	330	371	119
ENSG00000165509	METAP1D	11	2	46	12	21	11
ENSG00000179222	METAP2	701	1323	1859	1440	1847	998
ENSG00000102316	METRN	61	180	140	88	157	53
ENSG00000154545	METRNL	39	30	91	178	154	91
ENSG00000187243	METTL1	79	397	229	393	434	54
ENSG00000187243	METTL10	199	162	167	114	143	180
ENSG00000198934	METTL11B	4	1	2	0	0	4
ENSG00000186675	METTL12	28	75	36	18	35	17
ENSG00000177383	METTL13	107	180	242	184	250	75
ENSG00000187601	METTL14	65	169	225	156	151	110
ENSG00000254585	METTL15	106	179	131	146	119	116
ENSG00000151276	METTL16	58	143	115	130	121	122
ENSG00000240175	METTL17	181	233	178	246	266	204
ENSG00000187391	METTL18	25	166	381	132	234	28
ENSG00000226978	METTL20	64	93	45	52	16	11
ENSG00000234456	METTL21A	115	271	274	376	221	89
ENSG00000081026	METTL21B	2	1	0	3	0	0
ENSG00000269313	METTL21C	0	1	0	0	9	0
ENSG00000162385	METTL21EP	2	11	8	4	8	0
ENSG00000264176	METTL22	169	189	292	267	322	239
ENSG00000111196	METTL23	148	266	288	180	266	177
ENSG00000102158	METTL24	1	9	10	5	0	0
ENSG00000111837	METTL25	59	43	74	74	40	20
ENSG00000198042	METTL2A	40	66	96	62	137	52
ENSG00000172005	METTL2B	12	26	79	26	31	20
ENSG00000147676	METTL3	292	448	564	515	588	279
ENSG00000251562	METTL4	41	161	194	172	179	68
ENSG00000144063	METTL5	580	969	1703	1138	1602	373
ENSG00000282304	METTL6	159	243	498	300	469	229
ENSG00000204740	METTL7A	603	314	396	112	168	104
ENSG00000156928	METTL7B	9	1	1	7	2	1
ENSG00000172175	METTL8	184	407	215	301	363	195
ENSG00000165072	METTL9	682	835	1962	1306	1419	523
ENSG00000204706	MEX3A	7	7	4	0	1	3
ENSG00000177943	MEX3B	36	65	57	54	84	37
ENSG00000161021	MEX3C	250	295	279	293	387	285
ENSG00000184384	MEX3D	17	22	29	10	11	22
ENSG00000196782	MFAP1	261	714	736	804	931	183
ENSG00000013619	MFAP2	0	0	0	0	0	0
ENSG00000176909	MFAP3	140	152	174	128	93	60
ENSG00000111885	MFAP3L	376	451	531	420	701	137
ENSG00000198162	MFAP4	35	15	90	14	8	5
ENSG00000177239	MFAP5	3	0	0	3	2	1
None	MFF	1050	1941	3071	2043	2709	963
ENSG00000117643	MFGE8	24	38	6	7	6	11
ENSG00000112893	MFHAS1	52	53	46	90	48	37
ENSG00000196547	MFI2	7	14	0	4	4	2
ENSG00000104774	MFI2-AS1	10	28	3	10	8	12
ENSG00000013288	MFN1	269	451	437	568	483	292
ENSG00000140400	MFN2	1100	1630	2056	2142	2327	1597
ENSG00000109323	MFNG	1	1	10	1	2	0
ENSG00000101363	MFRP	0	0	0	0	0	0
ENSG00000172469	MFSD1	482	1329	1245	1046	1546	488
None	MFSD10	83	173	155	173	147	74
ENSG00000185090	MFSD11	275	559	524	574	526	217
ENSG00000145050	MFSD12	167	289	325	445	501	316
ENSG00000111261	MFSD2A	59	41	68	46	82	49
ENSG00000205693	MFSD2B	2	2	5	0	0	1
ENSG00000189221	MFSD3	163	379	874	457	603	141
ENSG00000069535	MFSD4	430	619	835	651	869	403
ENSG00000212916	MFSD5	116	405	455	453	391	123
ENSG00000166963	MFSD6	3959	7091	9073	9170	12709	6510
ENSG00000131711	MFSD6L	0	0	1	0	0	0
ENSG00000101460	MFSD7	17	29	40	33	19	23
ENSG00000140941	MFSD8	196	389	284	325	378	177
ENSG00000258102	MFSD9	11	29	9	134	35	27
ENSG00000197769	MGA	89	136	215	144	95	105
