	gene_name	PD_2	PD_4	PD_12	Control_3	Control_7	Control_11
ENSG00000120053	GSPT1	624	1148	1239	1186	1217	643
ENSG00000169154	GSPT2	275	793	876	592	836	309
ENSG00000125166	GSR	273	451	680	508	592	406
ENSG00000185245	GSS	385	1189	1086	1284	1472	578
ENSG00000203618	GSTA1	0	0	0	0	0	0
ENSG00000169347	GSTA2	1	1	1	0	0	0
ENSG00000178732	GSTA3	2	0	0	0	0	0
ENSG00000088053	GSTA4	837	2055	2708	2183	3401	666
ENSG00000169704	GSTA5	4	0	2	0	0	0
ENSG00000143167	GSTA7P	15	12	1	0	2	0
ENSG00000197858	GSTCD	53	106	90	87	49	44
ENSG00000133114	GSTK1	778	2327	1677	1339	1432	485
ENSG00000119927	GSTM1	161	6	6	37	8	0
ENSG00000204438	GSTM2	22	16	118	21	10	17
ENSG00000186281	GSTM2P1	28	11	50	9	20	0
ENSG00000138678	GSTM3	876	1585	2642	1531	1247	287
ENSG00000158669	GSTM4	268	375	694	400	458	67
ENSG00000076650	GSTM5	12	0	96	0	9	0
ENSG00000152133	GSTO1	1437	4288	4465	3139	4439	732
ENSG00000092978	GSTO2	33	128	193	136	138	41
ENSG00000089916	GSTP1	1599	2163	5756	2727	3816	681
ENSG00000198746	GSTT1	0	0	0	0	0	0
ENSG00000160818	GSTT2	0	0	0	0	0	0
ENSG00000186566	GSTT2B	0	0	0	0	0	0
ENSG00000179921	GSTTP1	0	0	0	0	0	0
ENSG00000062194	GSTTP2	0	0	0	1	0	0
ENSG00000159592	GSTZ1	89	119	157	142	170	25
ENSG00000063660	GSX1	1	0	0	0	0	1
ENSG00000213420	GSX2	0	0	0	0	0	0
ENSG00000147257	GTDC1	163	285	411	305	314	133
ENSG00000076716	GTF2A1	679	1258	1180	1601	1746	673
ENSG00000179399	GTF2A1L	0	0	0	0	0	0
ENSG00000235984	GTF2A2	1080	2142	3188	2544	2816	632
ENSG00000232885	GTF2B	203	848	1400	1010	1342	311
ENSG00000183098	GTF2E1	93	206	153	129	166	146
ENSG00000236520	GTF2E2	120	357	378	392	365	164
ENSG00000224394	GTF2F1	362	802	1180	1069	1278	615
ENSG00000125772	GTF2F2	257	413	617	653	868	273
ENSG00000167588	GTF2H1	206	572	624	374	563	189
ENSG00000152642	GTF2H2	0	0	0	0	0	0
ENSG00000115159	GTF2H2B	2	2	0	0	1	3
ENSG00000164850	GTF2H2C	0	0	0	0	0	0
ENSG00000149735	GTF2H2C_2	0	0	0	2	2	0
ENSG00000179600	GTF2H3	146	289	552	306	325	215
ENSG00000171723	GTF2H4	30	42	88	23	72	10
ENSG00000105220	GTF2H5	623	1235	1959	1212	1700	480
ENSG00000277494	GTF2I	180	319	206	207	372	144
ENSG00000068394	GTF2IP1	0	0	0	0	0	1
ENSG00000112293	GTF2IP20	18	3	6	11	14	5
ENSG00000150625	GTF2IP4	0	0	0	0	0	0
ENSG00000046653	GTF2IRD1	150	100	117	185	164	183
ENSG00000198522	GTF2IRD1P1	325	595	525	685	728	319
ENSG00000142751	GTF2IRD2	9	7	8	3	18	3
ENSG00000111231	GTF2IRD2B	2	14	22	10	13	19
ENSG00000136235	GTF3A	865	1461	2467	2144	2290	702
None	GTF3C1	620	1143	924	1078	1055	1198
None	GTF3C2	164	200	400	269	284	193
ENSG00000165370	GTF3C2-AS1	0	0	3	1	5	3
ENSG00000148358	GTF3C3	269	471	397	515	660	248
ENSG00000125734	GTF3C4	51	62	39	43	74	29
ENSG00000147262	GTF3C5	117	182	224	257	248	156
ENSG00000132975	GTF3C6	343	691	1026	724	849	258
ENSG00000183484	GTPBP1	65	82	187	168	131	196
ENSG00000181619	GTPBP10	260	455	721	499	516	209
ENSG00000173264	GTPBP2	88	67	112	111	154	56
ENSG00000077585	GTPBP3	117	261	316	226	243	289
ENSG00000180998	GTPBP4	222	587	966	546	900	212
ENSG00000180269	GTPBP6	92	116	147	184	180	64
ENSG00000187037	GTPBP8	66	83	242	172	200	40
ENSG00000257008	GTSCR1	2	0	1	1	0	0
ENSG00000101850	GTSE1	42	2	2	4	1	1
ENSG00000164849	GTSE1-AS1	14	5	17	4	10	1
ENSG00000173302	GTSF1	10	41	6	1	0	0
ENSG00000174948	GTSF1L	0	0	1	0	0	0
ENSG00000154165	GUCA1A	4	23	182	70	84	37
ENSG00000178015	GUCA1B	27	58	93	2	30	27
ENSG00000173250	GUCA1C	1	0	0	0	0	3
ENSG00000175514	GUCA2A	0	0	0	0	1	0
ENSG00000158292	GUCA2B	1	1	0	0	0	0
ENSG00000163328	GUCD1	88	65	60	123	56	68
ENSG00000175697	GUCY1A2	80	152	60	56	96	29
ENSG00000180758	GUCY1A3	186	300	487	128	111	55
ENSG00000151025	GUCY1B2	3	4	1	0	1	2
ENSG00000233642	GUCY1B3	3753	6224	6688	6343	7142	4084
ENSG00000173890	GUCY2C	20	11	5	0	18	1
ENSG00000143147	GUCY2D	8	36	47	41	62	6
ENSG00000250510	GUCY2EP	11	0	1	0	0	5
ENSG00000144230	GUCY2F	10	19	1	1	0	11
ENSG00000174946	GUCY2GP	4	1	3	1	0	2
ENSG00000184194	GUF1	214	363	471	515	834	200
ENSG00000147138	GUK1	1864	3841	7133	3979	4184	1114
ENSG00000166073	GULP1	77	0	27	0	0	9
ENSG00000277399	GUSB	65	82	59	76	136	93
ENSG00000125245	GUSBP1	269	34	151	93	137	33
ENSG00000152749	GUSBP10	1	0	4	0	1	0
ENSG00000166856	GUSBP11	47	123	85	97	131	75
ENSG00000169508	GUSBP2	0	0	0	0	0	0
ENSG00000183150	GUSBP3	0	0	0	0	0	0
ENSG00000204882	GUSBP4	83	156	177	131	99	43
ENSG00000188394	GUSBP5	0	10	65	10	1	2
ENSG00000172209	GUSBP9	0	0	0	0	0	0
ENSG00000170128	GVINP1	11	11	24	8	24	72
ENSG00000154478	GXYLT1	141	222	312	262	381	144
ENSG00000170837	GXYLT1P3	0	0	0	0	0	0
ENSG00000181773	GXYLT2	12	3	4	29	4	16
ENSG00000120436	GYG1	1630	2819	3528	3646	4558	1292
ENSG00000142511	GYG2	142	234	555	310	343	169
ENSG00000214943	GYG2P1	0	55	0	0	76	0
ENSG00000171659	GYLTL1B	1	1	0	0	0	0
ENSG00000178623	GYPA	3	3	11	6	1	2
ENSG00000170775	GYPB	1	1	15	0	0	5
ENSG00000170075	GYPC	25	41	90	33	15	22
ENSG00000183840	GYPE	5	5	3	7	22	4
ENSG00000177464	GYS1	211	241	257	205	220	161
ENSG00000135973	GYS2	4	8	14	6	2	2
ENSG00000102195	GZF1	218	275	396	273	305	131
ENSG00000203737	GZMA	1	0	0	0	0	0
ENSG00000135898	GZMB	0	1	0	0	0	0
ENSG00000146360	GZMH	0	4	0	0	0	0
ENSG00000156097	GZMK	3	5	0	0	0	0
ENSG00000180929	GZMM	0	1	0	0	0	0
ENSG00000112218	H19	0	0	0	0	0	0
ENSG00000140030	H1F0	120	179	228	127	132	130
ENSG00000119714	H1FNT	0	0	2	1	0	0
ENSG00000119737	H1FOO	4	0	0	0	0	0
ENSG00000115239	H1FX	322	616	767	440	585	543
ENSG00000155269	H1FX-AS1	60	179	141	168	93	59
ENSG00000171657	H2AFB1	0	0	0	0	0	0
ENSG00000123901	H2AFB2	0	0	0	0	0	0
ENSG00000139572	H2AFB3	0	0	0	0	0	0
ENSG00000164604	H2AFJ	255	746	774	685	985	172
ENSG00000138271	H2AFV	973	1573	2151	1640	2079	1097
ENSG00000181656	H2AFX	161	282	389	314	416	230
ENSG00000117262	H2AFY	1141	2601	3542	2625	3476	1077
ENSG00000188092	H2AFY2	66	45	164	36	88	88
ENSG00000117262	H2AFZ	944	2042	3362	2441	4007	503
ENSG00000188092	H2BFM	1	0	0	0	0	0
ENSG00000198932	H2BFWT	1	0	0	0	0	0
ENSG00000158301	H2BFXP	0	0	0	0	0	0
ENSG00000013588	H3F3A	0	0	0	0	0	0
ENSG00000167191	H3F3AP4	14	39	18	7	34	20
ENSG00000170412	H3F3B	1897	2044	2352	1671	2135	715
ENSG00000111291	H3F3C	8	13	18	27	13	3
ENSG00000173612	H6PD	16	26	23	24	14	7
ENSG00000169258	HAAO	65	159	29	19	0	35
ENSG00000204175	HABP2	1	1	0	1	7	5
ENSG00000185477	HABP4	898	2059	2122	2062	2113	897
ENSG00000169727	HACD1	130	231	299	320	228	56
ENSG00000132522	HACD2	2	5	8	6	18	0
ENSG00000160360	HACD3	2028	4957	5281	4303	5592	1284
ENSG00000121957	HACD4	14	48	39	26	16	4
ENSG00000213654	HACE1	353	718	842	861	927	415
ENSG00000167701	HACL1	33	100	109	81	80	41
ENSG00000166123	HADH	313	501	483	399	452	174
ENSG00000233276	HADHA	536	785	889	963	1182	506
ENSG00000176153	HADHB	1122	1097	1798	1264	1686	785
ENSG00000211445	HAGH	1003	2484	3300	2747	3539	762
ENSG00000167468	HAGHL	416	759	1322	1231	1124	604
ENSG00000224586	HAGLR	24	16	0	15	8	15
ENSG00000198704	HAGLROS	0	0	0	2	0	0
ENSG00000116157	HAL	14	3	25	6	2	5
ENSG00000164294	HAMP	261	26	12	9	155	9
ENSG00000089351	HAND1	2	0	0	0	0	1
ENSG00000023171	HAND2	8	0	0	0	0	3
ENSG00000178075	HAND2-AS1	1	0	0	0	0	1
None	HAO1	11	0	1	6	11	8
None	HAO2	0	1	0	0	2	1
ENSG00000075240	HAO2-IT1	0	0	0	0	4	0
ENSG00000154016	HAP1	30	23	11	4	14	6
ENSG00000100351	HAPLN1	11	21	5	0	3	4
ENSG00000154016	HAPLN2	97	206	69	61	73	120
ENSG00000189152	HAPLN3	9	0	0	0	1	0
None	HAPLN4	0	46	62	27	8	40
ENSG00000106070	HAR1A	58	150	232	105	144	131
ENSG00000115290	HAR1B	33	104	74	110	134	20
ENSG00000177885	HARBI1	11	49	29	126	108	31
ENSG00000141738	HARS	1060	2255	2438	3599	4207	1290
ENSG00000196208	HARS2	102	250	644	249	378	107
ENSG00000141449	HAS1	27	103	56	122	159	28
ENSG00000166923	HAS2	9	5	6	5	9	8
ENSG00000180875	HAS2-AS1	10	2	0	5	3	0
ENSG00000134317	HAS3	35	26	106	19	51	54
ENSG00000083307	HAT1	179	135	223	175	133	70
ENSG00000158055	HAUS1	99	350	243	292	343	85
ENSG00000137106	HAUS2	185	375	316	312	440	200
ENSG00000155511	HAUS3	35	53	141	78	62	13
ENSG00000120251	HAUS4	56	51	109	36	27	58
ENSG00000125675	HAUS5	15	26	15	50	28	45
ENSG00000152578	HAUS6	95	114	352	193	167	79
ENSG00000182771	HAUS7	98	222	316	286	349	80
ENSG00000234942	HAUS8	10	13	29	21	14	3
ENSG00000152208	HAVCR1	2	0	0	0	0	3
ENSG00000215045	HAVCR1P1	1	0	20	0	0	0
ENSG00000275572	HAVCR2	36	40	81	6	16	4
ENSG00000171189	HAX1	693	1251	1869	1178	1478	340
ENSG00000174680	HBA1	0	5	12	261	22	324
ENSG00000156273	HBA2	6	40	91	902	99	1256
ENSG00000164418	HBB	5	82	334	2892	377	3305
ENSG00000163873	HBBP1	2	1	0	2	0	9
ENSG00000149403	HBD	7	0	16	6	1	0
ENSG00000105737	HBE1	0	0	8	0	0	0
ENSG00000176884	HBEGF	106	53	55	72	125	93
ENSG00000183454	HBG1	0	0	0	0	0	0
ENSG00000273079	HBG2	0	0	0	0	0	0
ENSG00000161509	HBM	0	4	0	0	1	6
ENSG00000105464	HBP1	267	465	347	294	321	190
ENSG00000198785	HBQ1	31	86	96	84	22	4
ENSG00000116032	HBS1L	539	744	1110	1277	1406	666
ENSG00000178719	HBZ	0	3	0	2	1	0
ENSG00000155974	HCAR1	0	15	3	0	0	0
ENSG00000144596	HCAR2	6	5	0	0	1	6
ENSG00000068400	HCAR3	0	10	0	0	0	0
ENSG00000185974	HCCAT5	0	0	0	0	2	4
ENSG00000125388	HCCS	180	452	545	503	705	189
ENSG00000198873	HCFC1	185	365	411	473	440	516
ENSG00000198055	HCFC1-AS1	1	0	0	4	0	0
ENSG00000114124	HCFC1R1	1691	2937	5123	5467	5759	1486
ENSG00000152822	HCFC2	214	186	345	236	205	46
ENSG00000164082	HCG11	111	107	250	118	151	166
ENSG00000198822	HCG14	6	0	0	0	2	0
ENSG00000124493	HCG17	25	25	34	31	73	13
ENSG00000168959	HCG18	225	331	556	338	412	304
ENSG00000255082	HCG2040054	0	6	10	0	0	8
ENSG00000113262	HCG22	1	5	8	0	0	0
ENSG00000196277	HCG23	14	30	99	24	12	11
ENSG00000236202	HCG25	60	130	147	122	183	49
ENSG00000237665	HCG26	1	0	4	0	1	2
ENSG00000226258	HCG27	3	2	7	35	5	0
ENSG00000179603	HCG4	6	74	66	35	5	3
ENSG00000030582	HCG4B	12	5	20	2	1	7
ENSG00000134443	HCG8	182	255	294	208	149	259
ENSG00000165623	HCG9	9	4	29	1	15	0
ENSG00000109519	HCK	18	10	1	1	16	0
ENSG00000164284	HCLS1	45	1	11	3	20	11
ENSG00000126010	HCN1	286	483	906	557	622	612
ENSG00000132463	HCN2	40	65	43	80	55	87
ENSG00000139835	HCN3	258	341	361	615	356	240
ENSG00000225083	HCN4	127	231	313	324	269	214
ENSG00000105447	HCP5	10	18	40	2	19	2
ENSG00000215203	HCRT	12	8	9	19	13	8
ENSG00000204928	HCRTR1	1	0	0	8	0	0
None	HCRTR2	32	94	4	163	79	14
ENSG00000245857	HCST	66	59	80	27	81	13
None	HDAC1	84	43	59	24	13	46
ENSG00000293113	HDAC10	4	21	32	56	79	20
None	HDAC11	336	657	859	786	901	614
ENSG00000231216	HDAC11-AS1	1	12	0	0	0	0
ENSG00000186088	HDAC2	445	912	1697	1060	1182	275
ENSG00000133937	HDAC3	97	432	384	433	462	253
ENSG00000063515	HDAC4	82	239	123	157	136	125
ENSG00000167914	HDAC5	355	789	612	730	477	588
ENSG00000073605	HDAC6	603	1450	1597	1780	1631	404
ENSG00000147697	HDAC7	69	19	29	40	72	59
ENSG00000104518	HDAC8	149	184	409	318	416	96
ENSG00000131149	HDAC9	240	255	457	618	748	321
ENSG00000111305	HDC	0	0	0	1	0	2
ENSG00000169181	HDDC2	1438	2688	4179	2859	4549	807
ENSG00000214978	HDDC3	175	538	339	432	538	140
None	HDGF	150	365	436	406	391	329
ENSG00000105723	HDGFL1	2	0	3	0	3	0
ENSG00000082701	HDGFRP2	178	286	478	428	344	218
ENSG00000100744	HDGFRP3	1129	2149	2368	1784	2076	981
ENSG00000148180	HDHD1	139	259	395	235	218	187
ENSG00000235865	HDHD2	1064	2148	2504	2244	2933	808
ENSG00000103342	HDHD3	116	187	145	222	329	48
ENSG00000189369	HDLBP	993	2363	2482	2599	2946	1108
ENSG00000104687	HDX	110	115	145	203	134	132
ENSG00000100983	HEATR1	452	664	735	883	907	527
ENSG00000243955	HEATR3	5	28	22	20	11	15
ENSG00000244067	HEATR4	9	39	51	59	47	17
ENSG00000174156	HEATR5A	154	397	313	417	455	237
ENSG00000170899	HEATR5B	398	569	953	649	892	329
ENSG00000182793	HEATR6	157	194	144	224	233	116
ENSG00000237674	HEATR9	3	0	0	0	0	3
ENSG00000138780	HEBP1	191	413	246	182	183	29
ENSG00000197448	HEBP2	288	852	881	1124	1489	158
ENSG00000134184	HECA	306	513	677	401	657	126
ENSG00000213366	HECTD1	961	2044	1785	1479	2248	796
ENSG00000218803	HECTD2	320	411	313	236	257	163
ENSG00000134202	HECTD2-AS1	9	0	22	1	0	0
ENSG00000168765	HECTD3	93	406	245	373	315	211
ENSG00000134201	HECTD4	1269	2521	2340	2714	3128	1492
ENSG00000148834	HECW1	351	330	584	767	689	300
ENSG00000065621	HECW2	173	359	250	386	428	132
ENSG00000084207	HEG1	31	22	18	46	42	41
None	HEIH	86	173	307	235	219	110
ENSG00000099984	HELB	8	1	8	1	7	4
ENSG00000133433	HELLS	4	2	16	2	0	0
ENSG00000133433	HELQ	75	134	157	128	137	42
None	HELT	0	0	2	0	0	0
None	HELZ	846	1156	1355	1334	1352	1331
ENSG00000100577	HELZ2	3	2	4	8	2	6
ENSG00000169840	HEMGN	0	3	0	0	0	0
ENSG00000180613	HEMK1	103	151	86	139	113	126
ENSG00000121964	HENMT1	244	631	507	445	820	245
ENSG00000165417	HEPACAM	198	142	119	52	73	91
ENSG00000242441	HEPACAM2	5	1	0	7	6	0
ENSG00000140307	HEPH	152	58	53	32	26	89
ENSG00000137947	HEPHL1	6	12	1	1	1	6
ENSG00000153767	HEPN1	163	63	129	52	68	113
ENSG00000197265	HERC1	1402	2578	2982	2884	3356	1574
ENSG00000125651	HERC2	683	1331	1638	1603	1568	977
ENSG00000188342	HERC2P10	0	0	0	0	1	0
ENSG00000110768	HERC2P2	144	332	253	153	198	108
ENSG00000145736	HERC2P3	0	7	2	0	0	0
ENSG00000226259	HERC2P4	0	0	0	0	0	0
ENSG00000145736	HERC2P7	0	0	0	0	0	1
ENSG00000183474	HERC2P9	37	30	36	56	60	33
ENSG00000145736	HERC3	383	676	773	870	611	433
ENSG00000183474	HERC4	516	881	1515	1036	1014	605
ENSG00000111358	HERC5	27	2	36	16	4	1
ENSG00000213780	HERC6	91	206	393	230	247	151
ENSG00000272047	HERPUD1	918	1169	1574	2217	3419	974
ENSG00000263001	HERPUD2	146	155	133	209	132	171
ENSG00000277053	HES1	111	78	56	44	18	94
ENSG00000290871	HES2	4	11	2	1	0	2
ENSG00000272645	HES3	0	0	0	0	0	0
ENSG00000233369	HES4	92	554	254	265	558	318
ENSG00000293241	HES5	2	13	4	10	3	19
ENSG00000006704	HES6	75	119	231	64	170	109
ENSG00000230583	HES7	1	1	0	0	0	0
ENSG00000291206	HESX1	9	2	5	2	14	13
ENSG00000196275	HEXA	345	846	1281	808	1098	364
ENSG00000174428	HEXA-AS1	3	12	13	2	11	15
ENSG00000122034	HEXB	434	700	755	587	636	107
ENSG00000077235	HEXDC	68	112	80	57	74	19
ENSG00000115207	HEXIM1	441	771	981	954	1086	388
ENSG00000234945	HEXIM2	87	189	100	149	271	86
ENSG00000119041	HEY1	165	302	359	312	409	170
ENSG00000125484	HEY2	26	6	118	1	1	23
ENSG00000148308	HEYL	43	33	27	32	9	33
ENSG00000155115	HFE	4	0	0	7	0	0
ENSG00000100226	HFE2	0	0	0	0	0	0
ENSG00000105793	HFM1	19	23	114	20	47	22
ENSG00000172432	HGC6.3	3	3	0	2	0	0
ENSG00000130299	HGD	2	0	8	0	0	2
ENSG00000107937	HGF	15	8	3	3	1	0
ENSG00000178605	HGFAC	1	0	0	0	1	3
ENSG00000292358	HGH1	15	27	46	99	67	58
ENSG00000163607	HGS	415	911	1178	1209	1085	864
ENSG00000263417	HGSNAT	336	667	509	546	686	340
ENSG00000075218	HHAT	9	7	5	18	9	12
None	HHATL	133	190	173	24	40	38
ENSG00000170627	HHEX	12	0	5	0	12	0
ENSG00000124196	HHIP	53	15	16	57	52	18
ENSG00000048545	HHIP-AS1	17	89	36	174	95	52
ENSG00000112599	HHIPL1	45	49	99	45	52	61
ENSG00000138472	HHIPL2	2	0	0	0	0	2
ENSG00000197273	HHLA1	4	14	0	2	18	0
ENSG00000044012	HHLA2	3	2	2	2	0	0
ENSG00000138867	HHLA3	140	349	333	368	450	60
ENSG00000152402	HIAT1	612	921	1299	1289	1221	803
None	HIATL1	374	428	426	464	460	263
ENSG00000123201	HIATL2	1	10	2	4	32	4
ENSG00000293412	HIBADH	254	342	562	355	483	239
None	HIBCH	522	1161	1352	1336	1592	156
ENSG00000070019	HIC1	0	0	0	0	0	0
ENSG00000132518	HIC2	39	46	30	27	17	20
ENSG00000204529	HID1	371	658	784	843	784	419
ENSG00000101890	HID1-AS1	1	0	0	0	0	0
ENSG00000243316	HIF1A	1755	2218	2657	2413	2562	1144
ENSG00000151806	HIF1A-AS1	27	39	59	23	17	11
ENSG00000143774	HIF1A-AS2	1365	1676	2013	1994	1941	962
ENSG00000144366	HIF1AN	329	547	809	728	737	317
ENSG00000169919	HIF3A	78	39	12	31	19	32
ENSG00000183666	HIGD1A	3163	7373	10238	8424	11103	3156
ENSG00000291102	HIGD1B	150	63	33	49	52	10
ENSG00000224723	HIGD1C	0	0	0	0	1	0
ENSG00000228315	HIGD2A	907	1483	2093	1706	1921	412
ENSG00000272578	HIGD2B	0	0	0	1	0	2
ENSG00000241549	HILPDA	150	127	208	156	106	52
ENSG00000253203	HILS1	8	0	0	0	1	0
ENSG00000290560	HINFP	43	87	185	67	143	23
ENSG00000239650	HINT1	5461	12782	18009	14792	20401	3414
ENSG00000236296	HINT2	304	923	1396	813	1337	170
ENSG00000251600	HINT3	592	1067	1148	977	987	698
ENSG00000215630	HIP1	76	103	58	60	46	74
ENSG00000254838	HIP1R	205	198	313	171	164	121
ENSG00000151233	HIPK1	463	719	1131	656	725	451
ENSG00000232433	HIPK1-AS1	3	0	6	16	2	0
ENSG00000172986	HIPK2	1457	1254	1422	1172	1431	856
ENSG00000163754	HIPK3	833	880	1342	1502	1417	779
ENSG00000056998	HIPK4	15	1	2	7	1	1
ENSG00000206159	HIRA	76	100	113	187	160	103
None	HIRIP3	178	155	208	164	208	105
ENSG00000170180	HIST1H1A	0	10	29	8	0	8
ENSG00000250361	HIST1H1B	0	0	0	0	0	3
ENSG00000136732	HIST1H1C	127	12	23	52	79	9
ENSG00000197465	HIST1H1D	0	0	0	0	0	0
ENSG00000104812	HIST1H1E	7	49	56	22	67	28
ENSG00000111713	HIST1H1T	2	0	0	0	0	0
ENSG00000125812	HIST1H2AA	2	0	4	0	0	0
ENSG00000145649	HIST1H2AB	0	2	0	3	0	0
ENSG00000100453	HIST1H2AC	31	0	36	18	9	0
ENSG00000100450	HIST1H2AD	0	0	0	0	0	0
ENSG00000113088	HIST1H2AE	5	5	0	5	5	11
ENSG00000197540	HIST1H2AG	0	0	0	0	0	0
ENSG00000130600	HIST1H2AH	4	11	0	0	0	0
None	HIST1H2AI	0	0	0	0	0	0
None	HIST1H2AJ	0	0	0	0	0	0
None	HIST1H2AK	0	0	0	0	0	0
None	HIST1H2AL	1	0	0	0	0	0
None	HIST1H2AM	0	2	0	4	21	2
None	HIST1H2APS1	0	1	0	0	0	1
None	HIST1H2BA	3	0	0	0	0	2
None	HIST1H2BB	0	0	0	2	0	0
None	HIST1H2BC	3	3	14	3	10	2
None	HIST1H2BD	47	18	32	28	37	1
None	HIST1H2BE	0	8	0	8	0	8
None	HIST1H2BF	2	5	0	1	0	0
None	HIST1H2BG	2	0	0	0	0	0
None	HIST1H2BH	0	0	0	0	0	0
None	HIST1H2BI	0	0	0	0	2	0
None	HIST1H2BJ	0	4	4	1	1	0
None	HIST1H2BK	35	102	103	77	104	25
None	HIST1H2BL	0	0	6	0	1	0
None	HIST1H2BM	0	0	0	0	0	2
ENSG00000132475	HIST1H2BN	3	2	10	3	2	4
ENSG00000163041	HIST1H2BO	0	0	0	0	2	0
None	HIST1H3A	1	0	4	0	0	0
ENSG00000049239	HIST1H3B	0	3	0	0	1	0
ENSG00000162882	HIST1H3C	4	28	4	0	1	0
ENSG00000148702	HIST1H3D	4	3	7	2	2	6
ENSG00000130956	HIST1H3E	1	0	1	0	0	0
ENSG00000165996	HIST1H3F	4	0	2	0	0	0
ENSG00000206527	HIST1H3G	0	1	0	0	0	0
ENSG00000074696	HIST1H3H	0	1	3	0	0	4
ENSG00000188921	HIST1H3I	2	0	0	0	0	0
ENSG00000085382	HIST1H3J	0	0	2	1	1	0
ENSG00000131373	HIST1H4A	0	0	2	0	0	1
ENSG00000138796	HIST1H4B	0	0	1	0	0	0
ENSG00000084754	HIST1H4C	519	1268	3231	1435	2131	343
ENSG00000138029	HIST1H4D	22	15	1	0	0	0
ENSG00000063854	HIST1H4E	3	5	49	21	15	4
ENSG00000103253	HIST1H4F	1	0	0	0	0	0
ENSG00000224189	HIST1H4G	0	0	0	0	0	0
ENSG00000226363	HIST1H4H	9	67	12	25	18	5
ENSG00000084110	HIST1H4I	0	13	11	2	7	2
ENSG00000105697	HIST1H4J	2	2	3	4	3	0
ENSG00000113196	HIST1H4K	0	1	0	0	3	0
ENSG00000164107	HIST1H4L	1	2	0	0	0	1
ENSG00000237125	HIST2H2AA3	0	0	0	0	0	0
ENSG00000101323	HIST2H2AA4	0	0	0	0	0	0
ENSG00000116882	HIST2H2AB	0	0	2	0	0	0
ENSG00000230921	HIST2H2AC	3	23	31	10	8	1
ENSG00000173805	HIST2H2BA	0	0	0	0	0	0
ENSG00000145681	HIST2H2BC	0	0	0	0	0	0
ENSG00000132702	HIST2H2BE	138	117	83	152	167	54
ENSG00000140511	HIST2H2BF	0	2	0	0	0	0
ENSG00000187664	HIST2H3A	0	0	0	0	0	0
ENSG00000225978	HIST2H3C	0	0	0	0	0	0
ENSG00000231133	HIST2H3D	4	0	0	0	0	0
ENSG00000180423	HIST2H4A	0	0	0	0	0	0
None	HIST2H4B	0	0	0	0	0	0
ENSG00000112855	HIST3H2A	36	41	155	67	110	0
ENSG00000105509	HIST3H2BB	2	4	2	4	16	13
ENSG00000170961	HIST3H3	0	0	1	0	0	0
ENSG00000248690	HIST4H4	3	33	45	14	14	0
ENSG00000103044	HIVEP1	36	138	168	53	144	73
ENSG00000128708	HIVEP2	252	418	417	428	500	261
ENSG00000152240	HIVEP3	182	224	210	271	257	197
ENSG00000137814	HJURP	6	0	7	1	5	3
ENSG00000214367	HK1	2440	4394	3846	5215	5411	2768
ENSG00000092036	HK2	19	7	13	0	16	4
ENSG00000249115	HK3	10	18	0	5	1	8
ENSG00000147874	HKDC1	11	0	34	0	1	3
ENSG00000213397	HKR1	164	450	543	550	650	379
ENSG00000131351	HLA-A	629	788	1120	801	816	318
ENSG00000113249	HLA-B	536	242	1159	228	372	55
None	HLA-C	319	185	486	53	159	137
ENSG00000135077	HLA-DMA	97	109	87	134	134	61
ENSG00000143575	HLA-DMB	12	35	34	0	13	1
ENSG00000188536	HLA-DOA	13	13	20	21	25	14
ENSG00000206172	HLA-DOB	36	12	16	17	6	4
ENSG00000188536	HLA-DPA1	342	154	169	176	549	39
ENSG00000206172	HLA-DPB1	256	498	419	537	361	365
ENSG00000244734	HLA-DPB2	7	34	39	9	31	4
ENSG00000229988	HLA-DQA1	14	6	10	0	42	3
ENSG00000223609	HLA-DQA2	1	0	4	0	31	1
ENSG00000213931	HLA-DQB1	75	65	6	43	41	4
ENSG00000113070	HLA-DQB2	0	0	0	3	7	0
ENSG00000196565	HLA-DRA	357	83	510	76	309	6
ENSG00000213934	HLA-DRB1	211	48	137	57	44	15
ENSG00000196565	HLA-DRB3	0	0	0	0	0	0
ENSG00000206177	HLA-DRB4	0	0	0	0	0	0
ENSG00000105856	HLA-DRB5	61	1	93	22	15	0
ENSG00000086506	HLA-DRB6	11	5	74	28	30	0
ENSG00000112339	HLA-E	340	130	205	140	257	245
ENSG00000130656	HLA-F	78	38	129	89	59	26
ENSG00000196917	HLA-F-AS1	17	12	38	38	23	5
ENSG00000182782	HLA-G	4	1	33	3	7	1
ENSG00000255398	HLA-H	58	21	134	14	103	18
ENSG00000260880	HLA-J	3	3	7	2	2	0
ENSG00000004961	HLA-L	53	54	41	40	43	15
ENSG00000172534	HLCS	193	413	492	414	486	195
ENSG00000235802	HLF	68	122	73	116	118	117
ENSG00000103145	HLTF	870	2036	2359	1348	2138	902
ENSG00000111727	HLTF-AS1	25	105	158	76	130	42
ENSG00000228223	HLX	13	0	0	9	1	0
ENSG00000224157	HLX-AS1	0	0	0	0	0	1
ENSG00000231074	HM13	433	843	941	913	972	197
ENSG00000231074	HM13-AS1	1	14	0	0	0	2
None	HMBOX1	589	298	799	644	1190	874
ENSG00000228789	HMBS	269	233	539	412	422	98
ENSG00000225914	HMCES	340	437	449	636	735	215
ENSG00000232940	HMCN1	20	8	6	7	4	9
None	HMCN2	18	15	41	12	5	7
