Protein names,Gene names,Ctrl N02,Ctrl N04,Ctrl N06,Ctrl N08,Ctrl N10,PD N01,PD N03,PD N05,PD N07,PD N09
Hypoxanthine-guanine phosphoribosyltransferase,HPRT1,22.053197224934895,21.946374893188477,21.908750534057617,22.075525283813477,21.757450739542644,22.123342514038086,22.080217997233074,21.9736811319987,22.344886779785156,22.059441884358723
Alpha-1-antitrypsin;Short peptide from AAT,SERPINA1,23.462162653605144,22.01141421000163,22.091467539469402,20.029972076416016,23.079028447469074,21.061633427937824,21.8720219930013,19.38329315185547,19.618775685628254,19.622398376464844
Prelamin-A/C;Lamin-A/C,LMNA,19.868977864583336,19.61281140645345,19.535802205403645,18.801602681477863,19.625151952107746,20.22485415140788,20.03564453125,19.831010182698567,18.573001225789387,19.765181223551433
Myelin P2 protein,PMP2,21.400370915730793,21.403915405273438,20.51827557881673,20.60631815592448,21.474817276000977,22.458109537760418,21.765764236450195,21.254006067911785,21.570571263631184,22.158863703409832
Cystatin-B,CSTB,23.20302391052246,23.12969398498535,23.088594436645508,23.0960750579834,23.08564058939616,23.18252436319987,23.283489227294922,23.39776674906413,23.04164695739746,23.787047068277996
Major prion protein,PRNP,21.10382588704427,20.144558588663738,20.043446858723957,20.35888735453288,19.04173469543457,21.068689982096355,20.063438415527344,20.061020533243816,20.84282875061035,20.68495814005534
Thy-1 membrane glycoprotein,THY1,23.331510543823242,23.434380213419598,23.48781458536784,23.259323755900066,23.124797821044922,23.485506693522137,23.36414972941081,23.078819910685223,23.56869061787923,23.696327845255535
Heat shock protein beta-1,HSPB1,20.930038452148438,21.851555506388348,20.098525365193684,21.568401336669922,19.97378094991048,20.877173741658527,20.5934321085612,21.547383626302082,21.990989049275715,21.71865717569987
Secretogranin-1;PE-11;GAWK peptide;CCB peptide,CHGB,18.96216328938802,18.93355941772461,19.09337552388509,18.4337215423584,18.605613708496094,19.290460586547848,19.13657061258952,18.990283966064453,19.426542282104492,19.41229311625163
60S acidic ribosomal protein P2,RPLP2,22.604276657104492,22.919684727986652,23.515881220499676,23.389177958170574,24.027677536010742,23.17801284790039,23.16868527730306,23.407386144002277,22.791322072347004,23.042395909627277
Epoxide hydrolase 1,EPHX1,20.99405288696289,21.258581161499023,20.678378423055012,20.935590744018555,20.683817545572918,20.856150945027668,19.581183115641277,20.977671941121418,21.091220219930012,20.957576115926106
Glutathione peroxidase 1,GPX1,23.01886558532715,21.423588434855144,22.86693000793457,21.501163482666016,22.911997477213543,23.21657880147298,21.13952128092448,22.970091501871746,22.739306767781574,22.91461245218913
Calpain-1 catalytic subunit,CAPN1,20.284525553385418,20.31659189860026,20.46884981791178,20.111005783081055,20.216266632080078,19.80267333984375,20.071387608846027,20.424875895182293,20.276513417561848,20.096161524454754
Tubulin beta chain,TUBB,23.88939094543457,23.62725257873535,24.19020144144694,23.727645874023438,24.32019297281901,24.2142276763916,24.008787155151367,24.407784779866535,23.477017084757488,23.713608423868816
Cathepsin L1;Cathepsin L1 heavy chain;Cathepsin L1 light chain,CTSL,20.92250124613444,17.65272839864095,19.963433583577473,20.156468709309895,20.317298253377277,22.00717290242513,21.032725652058918,20.203784942626953,21.74060885111491,22.234244028727215
40S ribosomal protein S17,RPS17,20.571509679158527,20.224470138549805,20.49179458618164,20.561018625895183,20.602511088053387,20.551795323689777,20.432756423950195,20.373286565144856,20.135125478108723,20.455990473429363
Clathrin light chain B,CLTB,20.363664627075195,20.449504852294922,20.879452387491863,20.446767807006836,20.853967030843098,20.14164161682129,20.922431310017902,20.866519292195637,19.942031860351562,20.373871485392254
Cytochrome c oxidase subunit 6C,COX6C,22.62599054972331,21.77735646565755,21.69705645243327,21.306813557942707,22.199350992838543,20.73914845784505,22.344600677490234,21.81686528523763,22.322804133097332,22.112748463948567
S-formylglutathione hydrolase,ESD,21.983179092407227,22.007299423217773,21.71011225382487,22.026716232299805,21.776970545450848,22.0234432220459,22.056344350179035,22.367177963256836,22.111572265625,22.279687881469727
Clusterin;Clusterin beta chain;Clusterin alpha chain,CLU,21.697949091593426,21.53524653116862,21.563954035441082,21.329396565755207,21.398763020833332,21.813940048217773,21.70992914835612,21.85257911682129,21.58871078491211,21.47919273376465
"Pyruvate carboxylase, mitochondrial",PC,19.410563151041668,20.488040288289387,20.6086908976237,20.872430165608723,20.652578353881836,19.397335052490234,20.291953404744465,20.567597071329754,20.593936284383137,20.33652114868164
"Histidine--tRNA ligase, cytoplasmic;Probable histidine--tRNA ligase, mitochondrial",HARS;HARS2,20.406498591105144,19.754906972249348,20.381359100341797,19.990224202473957,20.19700304667155,20.10897954305013,19.90432866414388,19.833475748697918,19.553617477416992,19.812864939371746
CD59 glycoprotein,CD59,21.92114512125651,21.663366953531902,21.648905436197918,21.65997378031413,21.69175910949707,22.264137268066406,21.801741282145183,22.16029421488444,22.474775314331055,21.973979314168293
Macrophage migration inhibitory factor,MIF,24.720133463541668,24.39824612935384,24.378262837727863,24.366986592610676,24.114922205607098,24.353905359903973,24.431922276814777,24.54643440246582,24.649386088053387,24.498442967732746
Ezrin,EZR,19.561928431193035,19.646935780843098,18.66228675842285,19.336257298787434,18.1610050201416,18.940547943115234,19.13374392191569,19.56537691752116,19.99662907918294,19.256516138712566
Arylsulfatase B,ARSB,22.00466791788737,22.24158477783203,22.231210708618164,22.561222712198894,22.699827829996746,19.72687339782715,21.44500478108724,21.783703486124676,21.886236826578777,22.044074376424152
Beta-galactosidase,GLB1,20.07689094543457,19.917001088460285,20.436358133951824,19.525177637736004,20.17303403218587,20.328278223673504,20.097591400146484,19.71619987487793,20.060565948486325,20.89881769816081
Stathmin,STMN1,21.954875946044922,21.92318598429362,22.59932581583659,21.749603907267254,22.382474263509113,22.84219741821289,22.556804021199543,22.38207499186198,21.770363489786785,21.985741933186848
NADH dehydrogenase [ubiquinone] 1 beta subcomplex subunit 7,NDUFB7,20.010220845540363,18.46385320027669,19.040292104085285,18.001073837280273,19.572482426961262,19.78645388285319,19.546769460042317,19.531571706136067,19.3605473836263,19.329208374023438
60S ribosomal protein L7,RPL7,22.449333826700848,22.20537503560384,22.465827306111652,22.835886001586914,22.589454650878906,22.439565658569336,22.304537455240887,22.361365000406902,21.789724349975586,22.212743759155273
Aromatic-L-amino-acid decarboxylase,DDC,20.862144470214844,18.07006581624349,19.13190205891927,19.405975977579754,19.739206949869793,19.078243255615234,20.210334142049152,19.54911168416341,18.49074109395345,18.851939519246418
Myelin-associated glycoprotein,MAG,19.070799509684246,20.150875727335613,20.012410481770832,20.19045066833496,19.34718894958496,20.550771713256836,20.098429361979168,19.726940155029297,20.391136169433594,20.762440999348957
V-type proton ATPase subunit C 1,ATP6V1C1,18.835839589436848,19.01042938232422,18.98730977376302,19.252079645792644,19.317663828531902,19.547974904378254,19.0871156056722,19.102434794108074,19.150075276692707,19.333184560139973
Cysteine and glycine-rich protein 1,CSRP1,22.04193623860677,22.052542368570965,21.974655787150066,21.944565455118816,22.42949676513672,22.002389272054035,22.537424723307293,22.947751998901367,21.807079950968426,21.91531753540039
Synaptotagmin-1,SYT1,20.83052698771159,19.89742088317871,20.1403865814209,19.950863520304363,20.537940343221027,20.442035675048828,20.077255884806316,20.437272389729817,20.43478775024414,20.04486656188965
"Glycerol-3-phosphate dehydrogenase [NAD(+)], cytoplasmic",GPD1,22.653418858846027,20.50975290934245,21.094614664713543,19.887732187906902,22.22370147705078,23.07995541890462,22.64567756652832,23.432423273722332,22.77842839558919,21.260653177897137
Iduronate 2-sulfatase;Iduronate 2-sulfatase 42 kDa chain;Iduronate 2-sulfatase 14 kDa chain,IDS,19.035730997721355,21.750019709269207,20.97641118367513,21.148719787597656,21.01214027404785,20.750665028889973,20.758128484090168,20.66137186686198,21.255671819051106,21.3067143758138
Elongation factor 1-beta,EEF1B2,23.129249572753906,22.77234649658203,23.585886637369793,23.287707646687824,24.369927724202473,23.31532859802246,23.548499425252277,23.33216094970703,21.152394612630207,21.780296961466473
Proteasome subunit alpha type-1,PSMA1,19.072268803914387,19.280996322631836,19.753703435262043,19.5876948038737,17.363955815633137,19.5222110748291,18.79788589477539,19.02992566426595,19.553313573201496,19.373696009318035
Peptidyl-prolyl cis-trans isomerase FKBP2,FKBP2,21.25463930765788,20.90954844156901,21.004730224609375,21.1785151163737,20.823427200317383,20.76740900675456,20.853110631306965,20.8869571685791,20.624059677124023,20.852738698323567
14-3-3 protein theta,YWHAQ,20.969519297281902,20.708133061726887,19.429096221923828,20.103172302246094,21.16680145263672,21.28746287027995,21.45355224609375,20.43171501159668,20.98830795288086,20.703489303588867
Calreticulin,CALR,23.008811950683594,23.42531394958496,23.25507100423177,23.456693649291992,22.96746063232422,22.431842803955078,23.16025988260905,22.753759384155273,22.650051752726238,23.049048741658527
Proteasome subunit beta type-6,PSMB6,20.466960271199543,20.22479248046875,20.384798685709637,20.04694366455078,20.28838602701823,20.64381472269694,20.423622131347656,20.431039810180664,20.583242416381836,20.323719660441082
Cytosol aminopeptidase,LAP3,21.313257217407227,21.304786682128906,20.82010014851888,21.08859380086263,20.92144521077474,21.07781728108724,20.973416646321613,21.522268295288086,21.563725153605144,21.263539632161457
"Enoyl-CoA hydratase, mitochondrial",ECHS1,21.359041849772137,21.614726384480793,21.605496088663738,21.680381139119465,21.301908493041992,21.03232701619466,21.361788431803387,21.107499440511067,21.57190004984538,21.700232823689777
Sorcin,SRI,21.562382380167644,21.69959004720052,21.70427068074544,21.61381467183431,21.3471196492513,21.990353266398113,21.33945147196452,22.02395184834798,22.053666432698567,21.97418785095215
"14-3-3 protein beta/alpha;14-3-3 protein beta/alpha, N-terminally processed",YWHAB,21.903146743774414,22.557894388834637,22.20796076456706,22.548062006632488,22.375537872314453,22.693222045898438,22.383534749348957,22.411853790283203,22.15296999613444,22.01808039347331
60S ribosomal protein L9,RPL9,20.61553955078125,20.697359085083008,20.95115089416504,20.9880313873291,21.008161544799805,20.535980224609375,20.924041748046875,20.901039759318035,21.06387710571289,20.938424428304035
